dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,0,    3127.156772
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,1,    3090.348737
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,2,    3080.883932
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,3,    3105.047520
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,4,    3092.992406
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,5,    3087.930348
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,6,    3095.598615
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,7,    3093.192322
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,8,    3092.459101
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,9,    3081.356965
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,10,    3085.146489
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,11,    3075.303069
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,12,    3077.765897
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,13,    3072.909831
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,14,    3080.129806
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,15,    3077.086660
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,16,    3080.050099
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,17,    3075.514337
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,18,    3073.880809
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,19,    3076.780709
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,20,    3079.396363
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,21,    3077.184154
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,22,    3076.971076
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,23,    3075.469847
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,24,    3077.760207
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,25,    3076.566703
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,26,    3073.943561
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,27,    3077.166972
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,28,    3077.238315
3,float,uniform,PoisFFT,"Ns | Ns | Ns | Ns | Ns | Ns",4,406,29,    3075.245260
