dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,0,    2477.181625
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,1,    2443.804233
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,2,    2439.728557
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,3,    2436.869787
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,4,    2440.982264
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,5,    2451.870643
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,6,    2440.557393
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,7,    2435.023572
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,8,    2435.389527
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,9,    2434.417493
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,10,    2442.323736
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,11,    2439.939813
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,12,    2434.089016
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,13,    2433.833472
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,14,    2429.025549
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,15,    2432.157893
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,16,    2434.219906
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,17,    2437.108190
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,18,    2436.087639
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,19,    2434.608757
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,20,    2433.755882
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,21,    2435.784011
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,22,    2435.603522
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,23,    2435.022512
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,24,    2434.881992
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,25,    2440.420517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,26,    2435.208747
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,27,    2435.874341
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,28,    2436.873367
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ns",4,406,29,    2435.899879
