dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,0,    7193.361344
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,1,    7056.611320
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,2,    7029.858130
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,3,    7018.978691
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,4,    7019.346087
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,5,    7017.917447
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,6,    7017.805631
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,7,    7016.899178
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,8,    7012.324344
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,9,    7018.326190
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,10,    7018.701900
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,11,    7016.443419
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,12,    7015.100817
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,13,    7017.969454
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,14,    7019.850537
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,15,    7019.203225
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,16,    7011.920199
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,17,    7018.524451
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,18,    7012.202939
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,19,    7015.728091
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,20,    7016.149413
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,21,    7015.722372
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,22,    7010.288029
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,23,    7017.219339
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,24,    7018.588146
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,25,    7013.884743
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,26,    7020.811665
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,27,    7015.113948
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,28,    7015.424376
3,double,uniform,PoisFFT,"P | P | P | P | P | P",4,406,29,    7012.573334
