dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,0,      97.802473
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,1,      91.118720
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,2,      90.908093
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,3,      91.073909
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,4,      90.843613
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,5,      96.531918
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,6,      90.824898
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,7,      90.952820
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,8,      90.755936
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,9,      90.893657
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,10,      90.837937
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,11,      90.876230
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,12,      91.019063
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,13,      90.991730
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,14,      90.789331
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,15,      90.852079
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,16,      90.894031
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,17,      90.935270
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,18,      90.843904
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,19,      90.631852
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,20,      90.828856
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,21,      91.048136
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,22,      90.838412
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,23,      91.534115
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,24,      90.952654
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,25,      95.252091
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,26,      92.025523
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,27,      90.804147
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,28,      90.830207
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",16,203,29,      90.989919
