dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,0,     390.289297
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,1,     402.414816
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,2,     378.745648
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,3,     380.130758
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,4,     380.037714
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,5,     381.972664
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,6,     381.743002
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,7,     379.658763
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,8,     378.509185
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,9,     379.674032
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,10,     377.824728
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,11,     377.614034
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,12,     383.858004
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,13,     376.993513
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,14,     376.557062
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,15,     378.279821
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,16,     378.365505
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,17,     376.029717
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,18,     376.452776
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,19,     385.787621
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,20,     379.292473
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,21,     388.937316
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,22,     378.905879
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,23,     378.720735
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,24,     383.237838
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,25,     394.310000
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,26,     399.950602
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,27,     382.235983
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,28,     383.391972
3,double,uniform,PoisFFT,"D | D | D | D | N | D",64,369,29,     382.684541
