dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,0,    2528.154975
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,1,    2466.523549
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,2,    2478.213058
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,3,    2465.655843
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,4,    2470.077409
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,5,    2456.183129
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,6,    2456.178198
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,7,    2455.593563
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,8,    2453.497302
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,9,    2453.875318
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,10,    2454.578151
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,11,    2453.410282
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,12,    2453.496208
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,13,    2453.566441
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,14,    2450.496105
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,15,    2453.873912
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,16,    2454.555042
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,17,    2453.550195
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,18,    2446.792063
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,19,    2452.703313
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,20,    2453.262520
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,21,    2453.584244
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,22,    2453.129793
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,23,    2450.690904
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,24,    2452.786974
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,25,    2454.581010
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,26,    2456.657046
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,27,    2456.267091
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,28,    2455.083559
3,float,uniform,PoisFFT,"P | P | P | P | N | D",4,406,29,    2452.219672
