dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,0,    4747.229466
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,1,    4749.728484
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,2,    4697.767124
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,3,    4750.689060
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,4,    4702.539897
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,5,    4773.720202
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,6,    4711.666004
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,7,    4721.316779
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,8,    4714.400576
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,9,    4719.454160
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,10,    4689.563908
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,11,    4703.005058
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,12,    4726.880840
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,13,    4698.721630
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,14,    4719.986425
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,15,    4723.808063
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,16,    4721.740331
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,17,    4756.257563
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,18,    4735.199102
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,19,    4734.958798
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,20,    4729.277661
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,21,    4735.888846
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,22,    4717.089602
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,23,    4714.840158
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,24,    4719.921292
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,25,    4709.929087
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,26,    4701.085945
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,27,    4683.185865
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,28,    4705.745398
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",6,465,29,    4704.881092
