dim,precision,solver_type,api,bc_name,num_procs,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,0,      69.040149
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,1,      65.476737
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,2,      65.540988
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,3,      65.561327
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,4,      65.718520
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,5,      65.474567
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,6,      65.195698
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,7,      65.454088
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,8,      64.950407
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,9,      65.638313
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,10,      65.509797
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,11,      65.228164
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,12,      65.382545
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,13,      65.723307
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,14,      65.390488
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,15,      65.389177
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,16,      65.363088
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,17,      66.674055
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,18,      65.693038
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,19,      65.472607
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,20,      65.208807
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,21,      65.111046
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,22,      65.328293
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,23,      65.200239
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,24,      65.279558
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,25,      65.043095
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,26,      67.280301
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,27,      66.890852
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,28,      65.363734
3,double,uniform,PoisFFT,"P | P | P | P | N | D",32,256,29,      65.515155
